added_by,artist,award,banner,description,downloads,host,listens,official,rating_count,rating_score,release_date,title,tracks,views
coast2coastmixtapes,Karmen Sandiego ,Bronze,sponsored,Karmen Sandiego Fun Gu Hosted By DJ Drama :: TO PROMOTE YOUR MIXTAPE THROUGHT THE COAST 2 COAST NETWORK VISIT http://c2c.fm/QTDnFm,25892,@DJDRAMA,12590,0,72,60,08/13/2012,Fun Gu Hosted By DJ Drama,12,63561
Share,Akon,Bronze,,,25928,DJ Scope,87929,0,91,91,12/02/2006,Best of Akon,22,232010
crownstatenyc,Lennin The Optimus ,Bronze,sponsored,,25932,optimus,18545,0,100,100,12/02/2013,My Name Is Optimus ,17,50092
Share,Young Jeezy,Bronze,sponsored,,25932,DJ Drama,82626,1,128,95,10/30/2006,Tha streets iz watchin,20,238482
strapz101,Terry Carneria (Aka T-Y),Bronze,,"Terry Carneria gives the people of urban youth a taste of his music after linking with Dj Strapz (Strapz on the Track), where as in Rumble Young Man Rumble he describes his determination as he gives you his rendition of just doing what he calls ""Just being myself."" Enjoy

Follow @TerryCarneria @DjStrapz

#RumbleYoungManRumble #10o10 #Redroom",25935,Dj Strapz,7400,0,2,100,08/24/2013,"Rumble, Young Man, Rumble",14,43264
trifaminc,SUPA,Bronze,sponsored,"After Supa's highly acclaimed debut album ""Who's That"", he's treating hip hop fans once again with the highly anticipated mixtape ""Back 2 Basics"". Featuring Beats by Sadik of Houston,TX and collabs with some of the undergrounds' hottest artists, Supa returns to a mix of dope beats and hot lyrics having some insiders question why isn't he signed to a major label yet.",25936,,10046,0,3,67,11/09/2013,Back 2 Basics,16,113351
ChrisJRMusic,Chris JR,Bronze,sponsored,ANOTHER HIGHLY ANTICIPATED ORIGINAL MIXTAPE BY CHRIS JR! EVERYONE SHOW YOUR SUPPORT AND CHECK OUT THE CREATIVITY ! FOLLOW ON TWITTER & INSTAGRAM @CHRISJRMUSIC,25937,DJ Syncere,27610,0,24,100,01/12/2014,All In,17,48020
Prince_Rock,Prince Rock,Bronze,sponsored,"Prince Rock once again delivers, this time with a 4/20 smoker friendly mixtape. His tracks consist of his unique voice on hooks and lyrical homicide on his verses. All tracks were recorded at ID Labs in Pittsburgh, PA by Big Jerm (@bigjerm412) or Tree Jay (@treejtv) of most dope . Produced by Tre Beatz (@tr3b3atz) and tree jay. Learn more about Prince Rock at elevatormusicteam.com
Contact: jordanlyles32@gmail.com (@jblyles_ccoe)",25937,,16625,0,3,100,04/20/2014,Dank District,8,42904
Share,"R Kelly, Usher",Bronze,,,25939,DJ L-Gee,60254,0,112,94,06/08/2007,R. Kelly -VS- Usher Part 1 - Baby Making Edition,20,166720
Cwheat,C. Wheat,Bronze,,Team pacquiao Rap artist C. Wheat submits his resume to Rick Ross and the Maybach Music Group Empire www.cwheatmusic.com Follow @tweetcwheat,25940,DJ Knock,1953,0,35,100,10/16/2011,Resume To Rozay,15,44131
Share,Cassidy,Bronze,,,25939,DJ Trigga,128649,0,132,95,10/31/2007,Cassidy Freestyles,24,201658
youngsoulja426,Jay Yola,Bronze,sponsored,"Yolaseason hosted by Don Cannon! 
Twitter: @JayYola
Facebook: James Yola Jackson & Jay Yola
www.soundcloud.com/jayyola 
www.youtube.com/youngsoulja426",25940,"Don Cannon, Kush Society, Self Made Radio",34061,0,88,92,11/12/2012,Yolaseason,16,89937
TooFlyKidd717,Too Fly  Kidd,Bronze,sponsored,"Too Fly Kidd ""Skinny Mans Tale""
       Debute Nov.5th 2012
Production by:Yuc beats & J Nasty Beats",25942,,21174,0,3,100,11/04/2012,"Too Fly Kidd "" A Skinny Mans Tale""",13,35487
Kazzy,Kazzy,Bronze,sponsored,Nightmare On Eazy Street [MixTape] . Welcome To Your New Nightmare . . . Happy Halloween 2013,25942,"MME, MBAM, Artifaxx",2851,0,4,100,10/30/2013,Nightmare On Eazy Street [Mixtape],22,54801
Callme_Blaze,Callme Blaze,Bronze,sponsored,"Follow Me On Facebook:https://www.facebook.com/callme.blaze Soundcloud:http://soundcloud.com/callme_blaze Youtube:http://www.youtube.com/callmeblaze954
Twitter:http://www.twitter.com/callme_blaze",25944,"Recorded, Mixed, & Mastered By HD",5687,0,3,0,09/14/2012,The Blaze Factor,13,37419
moneygrip23,Nate G's,Bronze,sponsored,"The latest mixtape from Nate G's, find videos on Worldstar, youtube, and VEVO",25944,,17296,0,4,75,05/27/2013,Its So Perfect 2,20,64548
ThizzLatin_Dame,DAME DANIELS,Bronze,sponsored,"THIS IS A COLLECTION OF REMIXES, FREESTYLES, AND STREET BANGERS BROUGHT TO YOU BY THIZZ LATIN ATLANTA AND DAME DANIELS",25945,NONE,1622,0,4,100,01/29/2013,THIZZLANTA,9,32733
iofthestorment,Keywest,Bronze,sponsored,iofthestorm ceo Keywest drops his long awaited mixtape sequel to his highly successful Thru the eyes of the king. Follow him thru his journey and enjoy the music. To receive autographed copies of this cd or bookings and features email keywestmusic81@gmail.com,25947,iofthestorm ent,5704,0,8,100,11/09/2012,Thru The Eyes Of The King 2: Return Of The King,22,28398
Mr_Sex,L Dubb,Bronze,,Not your average artist coming from the southside of Chicago Follow L Dubb On Twitter & IG: @TheRealLDubb,25950,DJ Twin,5249,0,0,0,12/26/2013,I Vs Me,15,50672
coast2coastmixtapes,Poetic Killa,Bronze,,"Poetic Killa - The Renaissance Project

RECORDING ARTISTS: TO PROMOTE YOUR MIXTAPE THROUGH THE COAST 2 COAST NETWORK VISIT http://c2c.fm/QTDnFm",25950,,19518,0,8,100,01/31/2014,The Renaissance Project,17,48846
Punchlinej,"J.Rosario, Freck Billionaire, J-Hood",Bronze,sponsored,"New Mixtape From J.Rosario
""Punchline J Mixtape Vol 1."" 
Presented By Shadyville Djs / Audio Fix 
Hosted By Dj E Stacks

Featuring Freck Billionaire, J-Hood, NuMindz & Product",25957,"DJ E Stacks, Shadyville Djs, Audio Fix",950,0,8,100,06/01/2012,Punchline J Mixtape Vol1,14,91664
GotBrizz,Brizz,Bronze,sponsored,"H4H Proudly Presents ""Insurrection"": the latest mixtape from Brizz. With production from Johnny Juliano, Tone P, Urs Trüli, Peez Beats, JusticeBeats and Brizz from H4H.

""Knowledge is power. Sharing knowledge is infinite.""",25957,,8172,0,21,95,05/25/2013,Insurrection,8,41273
flybeats09,Kent Jones,Bronze,exclusive,"New project from Kent Jones ""Too Much Too Soon"" Presented by WeThaBest Music.",25960,,105984,1,438,78,09/16/2016,Too Much Too Soon,20,277435
kanye5012,Eminem,Bronze,,Mixtape of unreleased and rare songs by Eminem. Hope you enjoy.,25961,DJ Jamison,77072,0,295,96,03/31/2011,Eminem: Unreleased And Rare,15,229348
kingrealla,King Realla,Bronze,,"Dropping his highly anticipated mixtape ""Trap Life"" Dopeboy King Realla representing the westside of Tampa,FL. King Realla puts reality into music, he keeps it fun, and at the same also gives a message. with this mixtape ""Trap Life"" King Realla gives his experiences with drug dealing,pimping,jail time and death. With his Cut Throat approach he exspose the meaning of ""being bout that life"" and is considered the epitome of a ""real nigga"" hints the name King Realla Meaning King of Realness or Reality... expect a classic mixtape Dopeboy King Realla seems to make hits in his sleep. For booking contact bookinglords@gmail.com also follow on twitter & facebook @kingrealla and on Instagram @iamkingrealla",25961,DJ Insane,19343,0,19,100,07/01/2013,Trap Life,18,68870
ElRelle_1,El Relle,Bronze,,"16-Year Old from Greensboro, NC. Don't look at my age. Look at my knowledge.",25964,,3041,0,0,0,09/01/2012,A Basement Affair,15,35569
1993db,D.Bonhomme,Bronze,,one of the best mixtapes from the hottest youngest new dark nigga to the scene so check him out..twitter:YellaBoneLover,25966,DarkNigga,7599,0,1,100,05/23/2013,Haters Clean My Jordans,15,32971
DRAMATIKZBWAY,Beattape,Bronze,,Broadway TheDramatikz Beattape,25970,Dramatikz Broadway,1322,0,4,100,01/09/2012,Broadway Of The Dramatikz Presents Warning Shots The Beattape,5,8035
joycelynn23,BRYSON TILLER,Bronze,,"Songs you missed while Bryson Tiller's ""TRAPSOUL"" blew up. Peep game from the platinum selling artist. Brought to you by CAQRecords.com",25970,CAQ Records,94934,0,387,93,09/17/2016,PEN GRIFFEY: THE LOST FILES,8,219749
MultiManskipso,Multi-ManThaSkipso,Bronze,,A series of mix-tapes where the emcee known as Multi-ManThaSkipso challenges his rap skill against a certain producer,25971,,4179,0,1,100,05/14/2013,The Versus Series Vol. 1,13,20046
DR3DON,DR3DON,Bronze,sponsored,"Hot New Mix-Tape From DR3DON ""N.F.L"" ( Niggas For Life) is highley anticipated debut is Here Follow @DR3DON & @dj_cpthegreat on Twitter",25975,DJ CP The Great,441,0,5,80,02/02/2012,N.F.L. The Mix-tape,14,105974
traydayoungmac,Tray Da Young Mac ,Bronze,sponsored,This is the first installment from tray da young mac scaletime series if u wanna know about the streets of detroit then this is for u @TrayDaYoungMac http://www.youtube.com/Tray da young mac,25975,21 FOODSTAMPS,1384,0,1,100,01/22/2013,Where Dat Scale At ?,25,66267
smithrodderick,Rod Smith,Bronze,,After a 2 year wait Rod Smith is back with a new sound and feel to his music with a traditional hip hop feel that everyone can enjoy...experience the rebirth of Rod Smith... Twitter: @Southrod Instagram: @rodsmith713,25976,,3601,0,25,100,03/17/2014,The Passion Ep: Rod Renovatio,7,30086
HOTCAHMODITY,The Hot Cahmodity,Bronze,sponsored,The Highly Anticipated solo release of T.H.C. aka The Hot Cahmodity! (8/20/2013 Release #Solecontrolgang),25978,DJ Chokes,33886,0,55,100,08/09/2013,Uptop 2 Downbottom,19,62037
FlyingIronSC,Various Artists,Bronze,sponsored,Flying Iron is a Music Collective consisting of many artists from all over the United States. Our focus is dropping great music for all of you to enjoy. Were diverse in genres making sure we get your ears interested. From Soul to Hip Hop to Rap to R&B. Our album Is Potent So We Are Not Responsible For Your Headbanging Injuries!,25980,,15306,0,3,100,10/04/2013,Flying Iron Soul Collective Volume 1 The Re-Up,18,19950
DatBoiMo,Mo Astro,Bronze,,"The highly anticipated debut project from Decatur, IL rap/hip-hip artist Mo Astro. Presented by the good people at Slick Knowledge Ent.",25981,Slick Knowledge Ent.,3753,0,4,75,07/06/2012,Troofully Spoken The Mixtape,16,37752
kbennettpohlman,Manie Barz,Bronze,,"Manie Barz 3rd mixtape motivation hosted by Dj Kam Bennett... freestyles to beats like Columbia, new slaves, Hannah Montana, dope dealer and more. #THERAPPEREATER",26010,Dj Kam Bennett,8866,0,3,67,03/10/2014,Motivation (Hosted By Dj Kam Bennett),25,37465
ThaRealYungN,ThaRealYungN,Bronze,sponsored,"CaliCleanEnt And OverTime Hustlin Presents ThaRealYungN And His New Mixtape ""ThaWestCoastBillyDaKid"" Follow Him On Twitter @ThaRealYungN",26020,,4090,0,1,100,06/13/2014,Tha Westcoast Billy Da Kid,15,38471
djpcaso,Infamous 3000,Bronze,,"Infamous 3000 reppin' Middletown, OH",26022,DJ P-Caso,18031,0,0,0,01/15/2015,Ratchet Mixtape,11,30428
MTMotherlandBoy,MT MotherlandBoy,Bronze,sponsored,"MT Motherland boy was Born in Paris (France)on march 17th 1984, he Grew up in Bamako (Mali), and matured in Atlanta, That would the best way to describe his origins and upbringing. He is nothing short of an international prodigy , first got interested in music when he was 12 years , starting a group with 3 other childhood friends, the Nesby Brothers, being influenced by artists like 2 Pac , Snoop Dogg, Eminem, Jay z , Nas, Busta Rhymes ,NTM,MC Sollar, I AM, Lunatic (french Rappers) Back then MT was rapping in French which is his native language. At the age of 18 he moved from Mali to the United States. That’s when he had what he calls his calling, he found a renewed passion for Hip Hop this music that influenced him so much growing up in one of the poorest country in the world. The MotherlandBoy is no stanger to the struggle and the pain that ravage his continent as he witnessed it first hand for 12 years, it is felt in every bar he spits . This is his Debut Mixtape Coming to America  hosted by Atlanta owns DJ AONE.",26024,DJ Aone,4830,0,6,100,03/20/2013,Coming To America ,23,66425
HeadOfHipHop,Jaden Moss,Bronze,,"Hip Hop Is Back Pay Attention To The Future! Follow Me On www.twitter.com/DaRealJadenMoss www.youtube.com/JadenMossTv 
www.facebook.com/Jaden.Moss.Pure.Flow.JacXson
www.reverbnation.com/Jadenmoss",26026,Craig Lion,317,0,2,100,02/10/2012,True 2 Music,24,5013
stylishhabits,Tipse,Bronze,sponsored,Tipse debut Mixtape Fly High Never Low Hosted by DJGoonie,26031,DJ Goonie,46840,0,63,100,04/11/2013,Fly High Never Low,21,95418
SleepCasey,Drake,Bronze,,FireMixtapes.com presents Heartbreak Drake 5. Download the Full version at FireMixtapes.com. Happy Valentines,26032,FireMixtapes.com,96494,0,113,69,02/14/2010,Heartbreak Drake 5,23,252437
Flyguymusic20,"Fly Guy, Bama B, Lil One, Pokey,Klassic, Deuce, Ira",Bronze,,"Self Made, Self Paid, Fly Guy 7th Solo Mixtape",26038,,2865,0,3,100,09/19/2012,"Self Made, Self Paid",21,35688
ladychelle239,Kaspa Tha Wicked,Bronze,sponsored,"""I believe I have a different sound and it’s a sound that’s been missing from the music Industry, Im just raw and uncut.""-Kaspa Tha Wicked | www.KaspaThaWicked.com | @KaspaThaWicked",26039,,213,0,2,100,02/27/2012,New Face Of Tha South,22,104246
SMOKE_GOOD_KUSH,Kenny Cheeze,Bronze,sponsored,Brand new mixtape from the next big Toronto City Artist Kenny Cheeze. Youtube him. almost 1 000 000 views total.,26040,Kenny Cheeze,11993,0,7,86,12/14/2012,Astro Lights,15,37559
carruption,"Carruption, I$E, East Coast Doc, Contra-Ban, Mk Platinum, HitzMan JP, Wayne Powe, Voice Kartel, Ace,",Bronze,,,26040,O.M.C..,79076,0,2,100,02/01/2015,Unpredictable,18,89859
KPReilly02,Jae Millz,Bronze,exclusive,"The 5th installment to the ""Flood"" series by YMCMB's Jae Millz.  Hosted by DJ Ill Will & DJ Rockstar",26042,DJ Ill Will & DJ Rockstar,38582,1,100,95,08/19/2011,The Flood: Category 5,19,115753
LayLowe,LayLowe,Bronze,sponsored,"Contact Info
AllGrind931@gmail.com
Follow On Twitter 
@LayLowe931
@901duke_ruger 
@DLowTheWeirdo
@LacFrmTheProv",26042,,23610,0,2,50,04/19/2014,TheLeafChronicle,10,66137
DJ837,Trey Songz,Bronze,sponsored,Trey Songz fifth studio album Chapter V gets the Chopped & Screwed treatment by DJ 837 of the Urban Gorillaz DJ Squad featuring DJ Sincere (RIP DJ Screw) follow on twitter @DJ837 @deejay_sincere,26044,DJ 837,27653,0,48,92,08/21/2012,Chapter Purple,18,123250
priesthood305,Denzel Aquarius'killa Curry,Bronze,,WELCOME TO BLVCKLVND CC AND BLVCKLVND RVDIX 66.6 FROM THE WORDS OF SPACEGHOSTPURRP THIS TAPE DIGS INTO THE MIND OF DENZEL CURRY AND HE REFLECTS ON LIFE LOVE MURDER AND A MYSTIC FORCE AROUND US FEATURES INCLUDE MOST OF THE RVIDXRZ AND AFFILIATES FROM HIS PREVIOUS TAPE AND THIS TAPE IS FOR LADIES AND GENTLEMEN SO RELAX AND DIG INTO THE MND OF THE YOUNG BLVCK MALE DENZEL CURRY... R.I.P CHYNAMAN I LOVE YOU AND R.I.P EMMA BAKER I LOVE YOU TOO. S.4.M.R. THIS IS STRICTLY 4 MY R.V.I.D.X.R.Z.,26048,FVCK V DJ NIGGV!!!!!!,25579,0,161,98,05/13/2012,Strictly 4 My R.v.i.d.x.r.z. (1993),17,151332
coast2coastmixtapes,Willie J,Bronze,sponsored,Willie J - Before My Heart Stops,26051,Coast 2 Coast Mixtape Promotion,17702,0,46,100,11/06/2010,Before My Heart Stops,11,0
IllWill87,Various Artists,Bronze,exclusive,"For the past 3 years MostDope's Treejay and DJ Clockwork have been releasing their much anticipated 4/20 mixtape. This year they bring you Home N Stoned, the latest stoner classic to add to your collection. The project features exclusives from the likes of Mac Miller, Franchise & Lazy J, Vinny Radio, Choo Jackson, Lantana, Sir Michael Rocks, Devin Miles plus a slew of smoked out instrumentals from producers ID Labs, Andrew Lloyd, Christo and even Treejay and DJ Clockwork themselves. For more info on all things Treejay and DJ Clockwork follow them on twitter @TreeJTV and @CLOCKWORKdj. Spark one up.",26055,Treejay & DJ Clockwork,41820,1,58,86,04/20/2014,Home N Stoned,18,226962
Manteo57,"Quiet Mercenary, Jimmie The Rebel, Spaid",Bronze,,,26056,,13616,0,1,100,07/13/2013,P.ublic S.ervice A.nnouncement 2,18,29756
bobatl,B.o.B,Bronze,exclusive,"New mixtape from B.o.B ""Southmatic"" available now on DatPiff!",26056,,118532,1,1030,81,06/21/2019,Southmatic,16,223157
flybeats09,Various Artists,Bronze,exclusive,"HipHopEarly.com x DatPiff.com present ""Hip Hop Early Vol 2"" hosted by DJ Reddy Rell. Vol 2 features the hottest tracks out in the past week (May 22 - May 28). Look out for Vol 3 next week and visit HipHopEarly.com for new music EARLY! Follow @HipHopEarly @AloxHipHopEarly @DJReddyRell",26059,DJ Reddy Rell & HipHopEarly.com,29189,0,51,96,05/29/2012,Hip Hop Early Vol 2,21,134521
Debo7,Jay-z,Bronze,,,26060,Roc-a-fella,71214,0,141,97,03/11/2008,S. Carter Collection,24,231161
DJ Murph,Lil Phat,Bronze,,R.I.P LIL PHAT ! Long Live Lil Phat ! This is a mixtape we put together with a lot of classics from Lil Phat. Also features the whole Trill Fam. Log on to www.LinkzOnline.com for all the latest music!,26060,"Sick Empire, DJ Murph, DJ Dizzee & DJ Situation",62361,0,91,92,06/10/2012,Long Live Lil Phat,35,191859
chizmac100,Chiz Mac #AEMG ,Bronze,sponsored,"""Come Fly With Me"" the Mixtape by AEMG's CEO/Artist ChizMAc has producers such as (Hayse Brothers, Larry Ohh, Sterling Soundz & Low Da Ox) Follow her on Twitter @ChizMAc1  Instagram: chizmac",26061,,4374,0,9,78,11/08/2012,Come Fly With Me ,13,40353
DonteKentrell23,Donte Kentrell,Bronze,sponsored,Latest Mixtape from Recording Artist Donte Kentrell,26063,"PD3, LUCAS",8871,0,55,100,02/14/2014,Trill Love,13,47348
Four12Records,Pittsburgh Slim,Bronze,sponsored,This is the mixtape that made Jay-Z sign Slim to Def Jam in 2007. Entire Project produced by Ski Beatz.  Be sure to follow on Twitter @PittsburghSlim and check out PittSlim.com,26064,DJ Bizzy,3921,0,10,90,05/20/2012,Downtown Wednesday Night,18,168068
ShuicideHolla,SHUICIDE HOLLA,Bronze,sponsored,Part 1 of the 3 Part series of Sophmore Year Mixtape by Ohio Lyricist Of The Year Shuicide Holla. Follow Twitter/Instagram @Shuicideholla or Visit his official Web page Www.ShuicideHolla.Com,26065,Dj Nomadic,6470,0,17,100,02/16/2014,Sophmore Year Pt.1,7,36155
805music,Mo Stylez,Bronze,,"SIMPLICITY is the first official album by American Artist Mo Stylez. With minimal features and witty lyrical play, Mo Stylez's 13-track musical presentation is sure to be a powerful blend of inspiration and realness as he makes his freshman debut.",26066,,30850,0,25,100,02/06/2014,Simplicity,13,60010
Omizzle,Marsha Ambrosius,Bronze,sponsored,"New freEP from Marsha Ambrosius ""FVCK & LOVE EP""",26066,,20691,1,62,95,03/08/2014,Fvck & Love Ep,5,124615
HardTymesRec,Stackz,Bronze,,"Hard Tymes Records artist and South Florida native 'Stackz' brings you ""Stacks On Deck 2"", .....and the second installment in the series is official!    

Check it out, ride with it, we appreciate the love!",26069,Ball,2956,0,1,100,05/17/2013,Stackz On Deck 2,20,33335
DBoyPChase,D-Boy P. Chase And Hosted By Yukmouth,Bronze,sponsored,"Get Gwala Ent & Faultline Ent presents the new mixtape by D-Boy P. Chase ""Invasion Of The Landsharks"" hosted by Yukmouth, scratched by D.j. Reyfino, & mixed / mastered by Joey Dixon now available exclusively on Datpiff! The mixtape features West West, ChiBully, Kda Mac, Fashow, Makguyver, Kaynine Tha Boss, Phat Mac, Tha Bizness, Mass, SL-500, Duante Miller, Yung Wax, Joey Dixon, & more! Download this mixtape as well as the other D-Boy P. Chase classics! #GetGwala #InvasionOfTheLandshark #DunnaDunna",26070,D.J. Reyfino,13340,0,3,100,07/04/2013,Invasion Of The Landsharks,22,40425
Domo_win,Dom Gee,Bronze,,"Dom Gee drops his sophomore project ""The Lonely Stoner"" While teaming up with various artist and producers. Follow Dom Gee on twitter: DomGee_",26073,Lonely Stoner Ent.,3554,0,2,100,03/19/2013,The Lonely Stoner,11,41938
iamlilpaulpromo,Lil Paul,Bronze,sponsored,"After His Heart Attack back in July 2012 at the age of 26 Deridder,Louisiana's Own Lil Paul strives to push even harder towards his dreams and drops his New Mixtape Titled After Da Attack Check It Out as he describes his struggles and life as he Knows It follow him @iamlilpaul",26074,No DJ,7445,0,5,80,02/21/2013,After Da Attack,18,44056
CjCiTy,CjCiTy,Bronze,sponsored,"Smack/URL battle rap blogger and Hiphop Artist CjCiTy drops his newest mixtape entitled ""Souled Out"" Featuring some of his peers, Aye Verb, Cortez, Mickey Factz and more. This mixtape symbolizes Selling out to making soulful/good music. Follow Cjcity_ on twitter and subscribe to CjCiTyTv on youtube",26081,,9869,0,12,100,02/06/2014,Souled Out,14,39457
Kato,Travis Porter,Bronze,exclusive,"The Atlanta trio Travis Porter has been taking over the south with their infectious sound and club anthems ""Go Shorty Go"" and ""All the Way Turnt Up"" so naturally they teamed up with DJ Ill Will & DJ Rockstar to drop their new official Mixtape ""Traveeeey"" which is layered from top to bottom with BANGERS!! A DatPiff & HNHH EXCLUSIVE!",26082,Dj Ill Will & Dj Rockstar,47643,1,97,72,12/10/2009,Traveeeeey,17,197782
djyungsteffky,Rich Boy,Bronze,,"FIRST HE BROUGHT YOU PACC MAN NOW HE'S HOOKED UP WITH ONE OF THE HOTTEST DJS OUT OF THE HOOD RICH ENT. FAMILY ""DJ SCREAM"" TO BRING YOU KOOL-AID, KUSH & CONVERTIBLES HOPE YALL ENJOY.
 

www.twitter.com/djyungsteff
www.twitter.com/djscream
myspace.com/richboy",26129,DJ SCREAM,68706,1,199,93,07/11/2009,"Kool- Aid, Kush & Convertibles",19,183874
Yahiness170,DJ Enuff Presents YAHINESS,Bronze,sponsored,"Executive Producers: Omen/ Orenzo Jones/ Remi Williams/ Matasa Williams
Co-EPs: SOI| Robert ""Davbeat""Davoren/J.""Tha Jerm"" Gonzalez""/Doe Pesci
Art Direction & Design: Cornelle Pearson
Photography: Cornelle Pearson|
Special Thanks: DJ Enuff; Ken Linder Jr.; Mr. Reazon (Additional Keys) & SOI Team; The Fourthcoming Team; Twinlife; Soul Lei; Essence Stewart; Staple Pigeon Clothing",26130,DJ ENUFF / Executive Produced by Omen,7018,0,13,100,12/11/2013,Train Of Thought ,8,47978
TheRealCapacity,Capacity,Bronze,,This Is My First Mixtape Titled Lyrical Intersection Which Is A Metaphor Means Music Comes In Every Direction But Call All Meet Up In One Spot You The Artist Being The Traffic Light Please Download & Share,26133,,2618,0,4,100,09/09/2012,Lyrical Intersection,13,32685
youngnerd,NerdNerd ,Bronze,,The Highly Anticipated Mixtape' ( Cool & Comfortable ) #Tro$hxt Follow Twitter: @RealNerdNerd | @RLBeatz Instagram: @Urbanswave,26137,NoIntro,10866,0,10,100,06/22/2013,Cool & Comfortable Ep,14,42267
traeboy11,Trae Boy,Bronze,,635 entertainment presents hot new mixtape. Tha Prime Minister. Triple D Dallas Texas native. follow on twitter @traeboy11,26138,N/A,10280,0,1,100,10/02/2013, Tha Prime Minister,12,51691
Biggy Jiggy Mixtapes,Eminem,Bronze,sponsored,Full Download: tinyurl.com/EminemHD,26140,HDMixtapes.com,53361,0,149,91,11/23/2010,I Joke You Not,11,204442
mrgoogleman,GooogleMan,Bronze,sponsored,"Gooogle 3 O's is a mixtape from GooogleMan. This mixtape contains all the all the right music from Love Songs, Club Bangers, New Dance Moves, and Swag. Follow me @RealGooogleMan & on Reverbnation/GooogleMan.",26143,,3131,0,3,100,04/15/2013,Gooogle 3 O's,20,28806
afterdark,Z-RO,Bronze,,Best of Z-Ro,26147,DJ Addition,69588,0,100,89,12/30/2008,Best of Z-Ro & ABN,25,209930
casttroyammo,Cast Troy,Bronze,,3rd mixtape from Ammo Click's Cast Troy upcoming artist from West Philadelphia lookin to make his mark as the next rising star out of Philly,26150,,8535,0,3,100,03/11/2014,Fuel To The Fire,16,31348
juheroic,Ju Heroic,Bronze,,"This is my first beat tape. I hope you enjoy it. I'm really diverse when I put together beats. I really appreciate the feedback and also sharing with others.
Cover art done by: Kevin Womack",26151,,8071,0,3,100,01/03/2014,The Heroic Tape Volume One,15,37695
coast2coastmixtapes,SMUTTY,Bronze,sponsored,"SMUTTY - INDUSTRY PIMP III

RECORDING ARTISTS: TO PROMOTE YOUR MIXTAPE THROUGHT THE COAST 2 COAST NETWORK VISIT http://c2c.fm/QTDnFm",26153,,15775,0,62,98,06/13/2013,Industry Pimpin III,20,41290
AceMurda5,3.P.T.B.,Bronze,sponsored,"'Money In My Pocket' Remix feat. Gudda Gudda [OFFICIAL VIDEO] here : http://youtu.be/aYAvFjsHzz8



3.P.T.B. is back with there senior mixtape Hosted by @DJSuperstarJay w/ features from YMCMB, and local artist Cadet. This mixtape sums up the career from the underground local level and takes it beyond the boundaries using relevant industry instrumentals, showing they're on that industry level and breaking down the walls of the game with mind bothering rhymes.
Follos 3.P.T.B. @Acey3p @Loso3p @Twan3p @bam3p @mrloud3p @rb3ptb @Broadwaydre3p",26156,DJ Superstar Jay,585,0,3,100,08/02/2011,Yo Beat Aint Safe Hosted by DJ Superstar Jay,22,110743
MoneeKlass,Lil Ripp,Bronze,,"MoneeKlassFamily presents Lil Ripp or now known as ""Lewie X"" new installment/mixtape ""My Choice""",26160,MKF,5508,0,2,100,11/16/2013,My Choice ,16,65300
SHOW_1,Show,Bronze,sponsored,"""Above It All"" Debut Mixtape By Show (@ShowtimeShowbiz), Presented to you by Showbiz Inc... Hosted By Dj Ace (@TheRealDjAce) & Dj Krunch (@DJKrunch) #NEWMUSIC #DumbHitZ",26162,"DJ Ace, DJ Krunch",2607,0,5,100,07/05/2012,Above It All,21,58795
MarQuaysMusic,MarQuay,Bronze,,New Day the newest mixtape from MarQuay with music from the past 6 months. Follow on twitter @mar_quay. Check it out and spread it out.,26163,,14978,0,4,100,08/16/2013,New Day,13,45659
TheRealTGuy,T.Guy,Bronze,,"Houston artist ""T.Guy"" drops the second vol. of his Might As Well mixtape series!
Booking: BestInTheH@gmail.com",26167,No DJ,22084,0,2,100,08/07/2014,Might As Well 2,13,38321
TdotMOSBMG,T.MO,Bronze,sponsored,Newest offering from the SBMG artist. Nice mix of banging beats and artistic concepts to suit a nice flo.,26174,SBMG,1126,0,2,100,12/31/2011,DotNoDash,17,35200
SidahFect43rd,Sidah Fect,Bronze,sponsored,"Up & Coming Artist Outta South Central Los Angeles Sidah Fect & His BRPMG Camp Has Team Up With Az's Hottest Producer ""Jay Saint"" To Give The Streets ""South Central Zone "" Part 1 Wit Guest Features From T Nice , Low Low G , YTD , Coollife Screw & Smack Mane South Central Zone Delivers Nothing Less Then A Classic Street Mixtape For The Streets . To Contact or Any Inquries For Sidah Fect :SidahFect@gmail.com Or @SidahFect To Contact Jay Saint for Beats @iamjaysaint",26175,Hosted By Jay Saint,8235,0,20,100,04/16/2013,South Central Zone,19,35566
IAmMixtapes,J Star,Bronze,exclusive,"New mixtape from J Star ""Free Agent"" Hosted by DJ Mustard",26180,DJ Mustard,11448,0,15,80,07/16/2012,Free Agent,11,47157
Dj_Louie_V,Cam Jae,Bronze,,"Chicago upcoming artist Cam Jae of Chop Squad Entertainment finally releases his highly anticipated mixtape ""Hermosa The Movie"". Mixed/Hosted by Dj Louie V.

#MTMDjs #StackOrStarveApproved #ValleyTV #ChopSquad",26184,"Dj Louie V, Stack Or Starve",532,0,29,100,05/04/2014,Hermosa The Movie,15,59531
IAmMixtapes,Hell Rell,Bronze,exclusive,New official mixtape from Hell Rell and Duke Da God.  Follow on twitter @therealhellrell @darealdukedagod,26183,Duke Da God,52879,1,176,90,06/21/2011,Million Dollar Dreams & Federal Nightmares ,19,161334
